P. Kammerbauer,Patrick Kammerbauer,79
A. Hjulsager,Andrew Hjulsager,79
A. Considine,Andrew Considine,79
M. Lewandowski,Mateusz Lewandowski,79
M. Gostomski,Maciej Gostomski,79
M. Grabowski,Marcin Grabowski,79
A. Christensen,Andreas Christensen,79
Y. Clementia,Yannis Clementia,79
M. Facchinetti,Mickaël Facchinetti,79
A. Ranocchia,Andrea Ranocchia,79
P. Bengtsson,Pierre Bengtsson,79
A. Robertson,Andrew Robertson,79
M. Jankowski,Maciej Jankowski,79
J. Stanislas,Junior Stanislas,79
J. Henderson,Jordan Henderson,79
Z. Kuzmanović,Mićo Kuzmanović,79
I. Fetfatzidis,Ioannis Fetfatzidis,79
A. Ajdarević,Astrit Ajdarević,79
P. Schiattarella,Pasquale Schiattarella,79
Rafael Barbosa,Rafael Cabral Barbosa,80
E. Marxen,Erik Marxen,80
Mario González,Mario Gomez,80
Rafa,Rafael,80
K. Akpoguma,Kevin Akpoguma,80
Marc Roca,Marco Rojas,80
K. Hämäläinen,Kasper Hämäläinen,80
K. Bartolec,Karlo Bartolec,80
M. Škriniar,Milan Škriniar,80
S. Hierländer,Stefan Hierländer,80
David Concha,David Cancola,80
J. Keatings,James Keatings,80
K. Darlow,Karl Darlow,80
S. Gartenmann,Stefan Gartenmann,80
N. Isimat-Mirin,Nicolas Isimat-Mirin,80
J. McArthur,James McArthur,80
N. Elvedi,Nico Elvedi,80
J. Maddison,James Maddison,80
J. Bursztyn,Jakub Bursztyn,80
N. Brock-Madsen,Nicolai Brock-Madsen,80
P. Zabaleta,Pablo Zabaleta,80
S. Juklerød,Simen Juklerød,80
S. Ingolitsch,Sandro Ingolitsch,80
R. Vormer,Ruud Vormer,80
J. Hendry,Jack Hendry,80
R. Walter,Rémi Walter,80
N. Bertrams,Nigel Bertrams,80
S. Horemans,Siebe Horemans,80
N. Bentaleb,Nabil Bentaleb,80
J. Lawrence,James Lawrence,80
R. ten Hove,Ramón ten Hove,80
Raphinha,Rafinha,80
S. Fofana,Seko Fofana,80
J. Knight,Josh Knight,80
P. Teixeira,Pedro Teixeira,80
Roger,Rober,80
Rubén Mesa,Rubén Peña,80
E. Bičakčić,Ermin Bičakčić,80
K. Dybowski,Karol Dybowski,80
P. Martinez,Pablo Martinez,80
Róber,Rober,80
S. Bender,Sven Bender,80
K. Demirbay,Kerem Demirbay,80
E. Acolatse,Elton Acolatse,80
K. Danielak,Karol Danielak,80
E. Bardhi,Enis Bardhi,80
E. Bansen,Eike Bansen,80
P. McGinn,Paul McGinn,80
N. Aguerd,Naif Aguerd,80
Davidson,David Wilson,80
J. Guilavogui,Josuha Guilavogui,80
