,full_name,Current Club,nationality,minutes_played_overall,goals_overall,clean_sheets_overall
2833,Prince-Désir Gouano,Amiens SC,France,2622,1,8
2834,Rui Pedro da Rocha Fonte,Lille,Portugal,619,1,8
2835,Danilo Barbosa da Silva,Nice,Brazil,1552,0,10
2836,Bongani Zungu,Amiens SC,South Africa,231,0,2
2837,Nolan Mbemba,Reims,France,355,0,1
2838,Ghislain Konan,Reims,Côte d'Ivoire,1800,0,9
2839,Edgar Miguel Ié,Nantes,Portugal,1011,0,5
2840,Judilson Mamadu Tuncará Gomes,Monaco,Portugal,467,0,2
2841,Hyun-Jun Suk,Reims,South Korea,785,3,9
2842,Mauro Daniel Goicoechea Furia,Toulouse,Uruguay,712,0,3
2843,Edson André Sitoe,Rennes,Mozambique,2472,0,10
2844,Lionel Jules Carole,Strasbourg,France,1728,0,4
2845,Abdoulaye Diallo,Rennes,Senegal,496,0,2
2846,Stéphane M'Bia Etoundi,Toulouse,Cameroon,447,0,1
2847,Abdul Majeed Waris,Nantes,Ghana,2255,5,7
2848,Matz Sels,Strasbourg,Belgium,3330,0,8
2849,Yeni Atito N'Gbakoto,Guingamp,Congo DR,557,1,1
2850,Prince Oniangué,Caen,Congo,2343,2,8
2851,John Bostock,Toulouse,Trinidad and Tobago,982,0,4
2852,Idriss Saadi,Strasbourg,Algeria,9,0,0
2853,Andy Delort,Montpellier,France,3132,14,11
2854,Cristian López Santamaría,Angers SCO,Spain,357,2,7
2855,Fayçal Fajr,Caen,Morocco,3240,5,7
2856,Jonas Martin,Strasbourg,France,2061,3,5
2857,Rene Krhin,Nantes,Slovenia,1058,0,5
2858,Aymen Abdennour,Olympique Marseille,Tunisia,0,0,0
2859,Pape Cheik Diop Guete,Olympique Lyonnais,Spain,453,0,5
2860,Claudio Beauvue,Caen,Guadeloupe,1498,3,5
2861,Lassana Diarra,PSG,France,160,0,3
2862,Bilal Boutobba,Montpellier,France,30,0,0
2863,Sory Kaba,Dijon,Guinea,227,0,0
2864,Sergi Palencia Hurtado,Bordeaux,Spain,1984,0,6
2865,Ole Kristian Selnæs,Saint-Étienne,Norway,1675,0,7
2866,Arber Zeneli,Reims,Kosovo,807,3,3
2867,Karl-Johan Johnsson,Guingamp,Sweden,1530,0,4
2868,Stef Peeters,Caen,Belgium,409,0,2
2869,Timo Stavitski,Caen,Finland,13,0,0
2870,Alexander Djiku,Caen,France,2755,1,8
2871,Yannick Cahuzac,Toulouse,France,1428,1,5
2872,Enzo Crivelli,Caen,France,2273,6,9
2873,Jérémy Sorbon,Guingamp,France,2644,1,9
2874,Christophe Kerbrat,Guingamp,France,2099,0,6
2875,Jordan Ikoko,Guingamp,Congo DR,1707,0,4
2876,Lucas Deaux,Guingamp,France,1197,3,6
2877,Marcus Coco,Guingamp,France,1841,1,8
2878,Yannis Salibur,Saint-Étienne,France,896,1,7
2879,Ludovic Blas,Guingamp,France,2378,1,10
2880,Nicolas Pallois,Nantes,France,2160,2,6
2881,Youssouf Sabaly,Bordeaux,France,1910,0,7
2882,Maxime Poundjé,Bordeaux,France,2536,0,8
2883,Frédéric Guilbert,Caen,France,2917,1,9
2884,Jaroslav Plašil,Bordeaux,Czech Republic,1441,0,5
2885,Valentin Vada,Saint-Étienne,Argentina,433,1,5
2886,Gaëtan Laborde,Montpellier,France,3006,11,12
2887,Stéphane Ruffier,Saint-Étienne,France,3330,0,13
2888,Loïc Perrin,Saint-Étienne,France,2702,1,11
2889,Vincent Pajot,Angers SCO,France,720,0,3
2890,Benjamin Corgnet,Strasbourg,France,666,1,4
2891,Robert Berič,Saint-Étienne,Slovenia,1171,9,8
2892,Romain Hamouma,Saint-Étienne,France,1595,4,8
2893,François Kamano,Bordeaux,Guinea,2569,10,10
2894,Pierre-Yves Polomat,Saint-Étienne,France,947,0,8
2895,Kévin Monnet-Paquet,Saint-Étienne,France,1482,1,7
2896,Jessy Moulin,Saint-Étienne,France,90,0,0
2897,Daniel Congré,Montpellier,France,3293,2,12
2898,Morgan Sanson,Olympique Marseille,France,2407,5,11
2899,Ellyes Skhiri,Montpellier,France,3092,3,12
2900,Souleymane Camara,Montpellier,Senegal,125,3,1
2901,Denis Petrić,Guingamp,Slovenia,0,0,0
2902,Romain Thomas,Angers SCO,France,2395,2,10
2903,Ismaël Traoré,Angers SCO,Côte d'Ivoire,2636,3,8
2904,Vincent Manceau,Angers SCO,France,2790,1,12
2905,Yoann Andreu,Angers SCO,France,3,0,0
2906,Pierrick Capelle,Angers SCO,France,1844,3,7
2907,Cheikh N'Doye,Angers SCO,Senegal,2336,0,11
2908,Baptiste Santamaria,Angers SCO,France,3248,1,13
2909,Billy Ketkeophomphone,Angers SCO,France,0,0,0
2910,Nicolas Pépé,Lille,Côte d'Ivoire,3332,22,15
2911,Pablo Martinez,Strasbourg,France,2818,3,8
2912,Anthony Mandrea,Angers SCO,France,0,0,0
2913,Baptiste Reynet,Toulouse,France,2705,0,6
2914,Fouad Chafik,Dijon,Morocco,1854,0,3
2915,Yunis Abdelhamid,Reims,Morocco,3420,0,14
2916,Florent Balmont,Dijon,France,1082,0,2
2917,Frédéric Sammaritano,Dijon,France,536,0,3
2918,Romain Amalfitano,Dijon,France,2529,0,4
2919,Jordan Marié,Dijon,France,1802,1,4
2920,Júlio Tavares,Dijon,Cape Verde,2804,5,6
2921,Léo Dubois,Olympique Lyonnais,France,2044,1,6
2922,Valentin Rongier,Nantes,France,3228,4,8
2923,Yacine Bammou,Caen,Morocco,918,2,3
2924,Loïs Diony,Saint-Étienne,France,1597,5,10
2925,Emiliano Sala,Nantes,Argentina,1376,12,4
2926,Alexis Alégué Elandi,Nantes,Cameroon,4,0,0
2927,Enock Kwateng,Nantes,France,2036,0,7
2928,Lévy Koffi Djidji,Nantes,Côte d'Ivoire,90,0,0
2929,Maxime Dupé,Nantes,France,939,0,1
2930,Mouhamadou Dabo,Caen,France,0,0,0
2931,Damien Da Silva,Rennes,France,2874,2,10
2932,Emmanuel Imorou,Caen,Benin,1119,0,3
2933,Ronny Rodelin,Guingamp,France,785,0,7
2934,Benjamin Lecomte,Montpellier,France,3330,0,11
2935,Wesley Lautoa,Dijon,New Caledonia,3026,0,6
2936,Yann Karamoh,Bordeaux,France,1224,3,7
2937,Matthieu Dreyer,Amiens SC,France,0,0,0
2938,Ismaël Tiémoko Diomandé,Caen,Côte d'Ivoire,1295,0,2
2939,Benjamin Jeannot,Dijon,France,1448,2,3
2940,Florent Mollet,Montpellier,France,2580,6,10
2941,Bakary Adama Soumaoro,Lille,France,1726,0,5
2942,Ismaïla Sarr,Rennes,Senegal,2795,8,11
2943,Younousse Sankhare,Bordeaux,Senegal,1480,1,5
2944,Mike Maignan,Lille,France,3420,0,15
2945,Yassine Benzia,Lille,Algeria,162,0,1
2946,Youssef Aït Bennasser,Saint-Étienne,Morocco,2011,0,7
2947,Yoan Cardinale,Nice,France,270,0,0
2948,Paul Baysse,Caen,France,1862,0,3
2949,Malang Sarr,Nice,France,2994,1,15
2950,Rémi Walter,Nice,France,826,2,11
2951,Benoît Costil,Bordeaux,France,3330,0,9
2952,Ludovic Baal,Rennes,French Guiana,125,0,0
2953,Steven Moreira,Toulouse,France,865,0,1
2954,Ramy Bensebaini,Rennes,Algeria,2154,1,5
2955,Yoann Gourcuff,Dijon,France,127,0,1
2956,Benjamin André,Rennes,France,2496,3,8
2957,Wesley Saïd,Dijon,France,2260,5,5
2958,Wylan Cyprien,Nice,France,2395,4,13
2959,Mathieu Bodmer,Amiens SC,France,1062,1,4
2960,Romain Danzé,Rennes,France,0,0,0
2961,Yohann Pelé,Olympique Marseille,France,680,0,3
2962,Tomáš Hubočan,Olympique Marseille,Slovakia,67,0,2
2963,Bouna Sarr,Olympique Marseille,Guinea,2243,1,10
2964,Issiaga Sylla,Toulouse,Guinea,1995,2,7
2965,Kelvin Amian Adou,Toulouse,France,2880,0,8
2966,Yann Bodiger,Toulouse,France,12,0,0
2967,Alexis Blin,Amiens SC,France,1999,1,8
2968,Saîf-Eddine Khaoui,Caen,France,1361,3,5
2969,Brice Samba,Caen,France,3420,0,9
2970,Aaron Leya Iseka,Toulouse,Belgium,1437,4,8
2971,Maxime Lopez,Olympique Marseille,France,2186,1,12
2972,Mathieu Cafaro,Reims,France,2101,7,13
2973,Romain Genevois,Caen,Haiti,358,0,1
2974,Nicolas De Roussel de Préville,Bordeaux,France,1268,3,5
2975,Pierre Lees Melou,Nice,France,2394,2,11
2976,Grégory Sertic,Olympique Marseille,France,106,0,2
2977,Valentin Eysseric,Nantes,France,210,1,2
2978,Mathieu Michel,Angers SCO,France,0,0,0
2979,Flavien Tait,Angers SCO,France,2994,5,13
2980,Olivier Boscagli,Nice,France,862,0,6
2981,Alexandre Mendy,Guingamp,France,762,3,4
2982,Nolan Roux,Guingamp,France,1538,2,8
2983,Ronaël Pierre-Gabriel,Monaco,France,356,0,2
2984,Jonathan Ligali,Montpellier,France,0,0,0
2985,Christophe Jallet,Nice,France,886,1,8
2986,Mehdi Zeffane,Rennes,Algeria,1213,1,5
2987,Sanjin Prcić,Strasbourg,Bosnia and Herzegovina,1053,2,2
2988,Thomas Mangani,Angers SCO,France,1598,3,12
2989,Milan Gajić,Bordeaux,Serbia,90,0,0
2990,Marvin Martin,Reims,France,626,0,7
2991,Arnold Bouka Moutou,Dijon,Congo,63,0,0
2992,Baïssama Sankoh,Caen,Guinea,647,0,7
2993,Paul Lasne,Montpellier,France,1778,2,12
2994,Morgan Poaty,Montpellier,France,90,0,0
2995,Anthony Walongwa,Nantes,Congo DR,90,0,0
2996,Adrien Thomasson,Strasbourg,France,2491,5,9
2997,Jean-Victor Makengo,Nice,France,1024,1,9
2998,William Vainqueur,Monaco,France,79,0,1
2999,Adrien Hunou,Rennes,France,1241,7,4
3000,Pablo Nascimento Castro,Bordeaux,Brazil,1943,1,7
3001,Clément Michelin,Toulouse,France,90,0,0
3002,Naïm Sliti,Dijon,Tunisia,2289,3,6
3003,Ibrahim Sangaré,Toulouse,Côte d'Ivoire,2466,1,7
3004,Houssem Aouar,Olympique Lyonnais,France,3068,7,10
3005,Arnaud Nordin,Saint-Étienne,France,1046,3,9
3006,Étienne Didot,Guingamp,France,2105,1,8
3007,Paul Bernardoni,Nîmes,France,3420,0,10
3008,Fodé Ballo Touré,Monaco,France,3190,0,11
3009,Edvinas Gertmonas,Rennes,Lithuania,0,0,0
3010,Martin Terrier,Olympique Lyonnais,France,1481,9,9
3011,Youssouf Koné,Lille,Mali,1710,0,9
3012,Patrick Burner,Nice,France,1354,0,7
3013,Lebo Mothiba,Strasbourg,South Africa,2022,10,10
3014,Walter Daniel Benítez,Nice,Argentina,3150,0,16
3015,Nicolas Janvier,Rennes,France,2,0,0
3016,Eiji Kawashima,Strasbourg,Japan,90,0,1
3017,Abdoulaye Touré,Nantes,France,2748,3,7
3018,Zaydou Youssouf,Bordeaux,France,425,0,4
3019,Théo Pellenard,Angers SCO,France,496,0,1
3020,James Edward Lea Siliki,Rennes,France,1219,0,7
3021,Boubacar Kamara,Olympique Marseille,France,2409,1,9
3022,Kenny Rocha Santos,Saint-Étienne,Cape Verde,0,0,0
3023,Abdoulaye Bamba,Angers SCO,Côte d'Ivoire,2574,0,12
3024,Jonathan Bamba,Lille,France,3011,13,15
3025,Hicham Mahou,Nice,France,0,0,0
3026,Giovani Lo Celso,PSG,Argentina,10,0,0
3027,Bryan Passi,Montpellier,France,0,0,0
3028,Keagan Dolly,Montpellier,South Africa,89,0,1
3029,Oussama Haddadi,Dijon,Tunisia,2678,2,6
3030,Nicolas Benezet,Guingamp,France,1665,3,8
3031,Vukašin Jovanović,Bordeaux,Serbia,1377,0,6
3032,Bassem Srarfi,Nice,Tunisia,811,1,6
3033,Firmin Ndombe Mubele,Toulouse,Congo DR,457,1,1
3034,Chang-Hoon Kwon,Dijon,South Korea,935,2,2
3035,Randal Kolo Muani,Nantes,France,118,0,0
3036,Mickaël Le Bihan,Nice,France,203,1,1
3037,Gabriel dos Santos Magalhães,Lille,Brazil,1063,1,9
3038,Sami Ben Amar,Nîmes,France,0,0,0
3039,Marc Vidal,Toulouse,France,0,0,0
3040,Dimitry Bertaud,Montpellier,France,90,0,1
3041,Valentin Rosier,Dijon,France,1458,0,4
3042,Myziane Maolida,Nice,France,957,0,5
3043,Lamine Ghezali,Saint-Étienne,France,38,1,3
3044,Denis Will Poha,Rennes,France,27,0,1
3045,Alexandre Olliero,Nantes,France,90,0,0
3046,Mickaël Nade,Saint-Étienne,France,0,0,0
3047,Bobby Allain,Dijon,France,1170,0,1
3048,Seydou Sy,Monaco,Senegal,225,0,0
3049,Jérémie Porsan-Clemente,Montpellier,France,0,0,0
3050,Rachid Alioui,Nîmes,Morocco,1237,5,8
3051,Johann Carrasso,Reims,France,0,0,0
3052,Romain Métanire,Reims,France,313,0,2
3053,Loïck Landre,Nîmes,France,1590,3,5
3054,Benjamin Bourigeaud,Rennes,France,2434,6,11
3055,Pablo Chavarría,Reims,Argentina,1977,5,12
3056,Baptiste Guillaume,Nîmes,Belgium,1187,2,6
3057,Pierrick Valdivia,Nîmes,France,29,0,1
3058,Zacharie Boucher,Angers SCO,France,180,0,1
3059,Marc-Aurèle Caillard,Guingamp,France,1890,0,6
3060,Jacques-Alaixys Romao,Reims,Togo,3165,0,14
3061,Jean Eudès Aholou,Monaco,Côte d'Ivoire,1075,0,5
3062,Cédric Yamberé,Dijon,France,2803,0,4
3063,Sada Thioub,Nîmes,France,2481,3,10
3064,Theoson Jordan Siebatcheu,Rennes,France,606,3,6
3065,Quentin Cornette,Amiens SC,France,210,0,1
3066,Baptiste Valette,Nîmes,France,0,0,0
3067,Nicolas Lemaître,Reims,France,0,0,0
3068,Grejohn Kyei,Reims,France,1,0,1
3069,Fethi Harek,Nîmes,Algeria,177,0,0
3070,Erwin Zelazny,Caen,France,0,0,0
3071,Mathieu Dossevi,Toulouse,Togo,2482,4,8
3072,Kenny Lala,Strasbourg,France,3060,5,8
3073,Driss Trichard,Bordeaux,France,90,0,0
3074,Lucas Evangelista Santana de Oliveira,Nantes,Brazil,722,1,1
3075,Antonio Barreca,Monaco,Italy,596,0,1
3076,Emil Krafth,Amiens SC,Sweden,2973,1,11
3077,Eddy Gnahoré,Amiens SC,France,2243,4,9
3078,Pietro Pellegri,Monaco,Italy,79,1,0
3079,Moussa Konaté,Amiens SC,Senegal,1882,7,9
3080,Romain Del Castillo,Rennes,France,1338,0,6
3081,Abdallah N'Dour,Strasbourg,Senegal,295,0,2
3082,Anthony Gonçalves,Strasbourg,France,1058,5,4
3083,Jeremy Grimm,Strasbourg,France,167,0,1
3084,Ihsan Sacko,Nice,France,436,0,4
3085,Stéphane Bahoken,Angers SCO,France,2493,11,12
3086,Téji Savanier,Nîmes,France,2866,6,8
3087,Renaud Ripart,Nîmes,France,3008,8,10
3088,Gaëtan Paquiez,Nîmes,France,1324,0,5
3089,Theo Valls,Nîmes,France,1770,0,10
3090,Clément Dépres,Nîmes,France,432,5,6
3091,Salomon Sambia,Montpellier,France,910,0,11
3092,Steven Fortès,Toulouse,Cape Verde,134,0,0
3093,Ferland Mendy,Olympique Lyonnais,France,2529,2,8
3094,Jonathan Gradit,Caen,France,2013,0,7
3095,Ibrahim Cissé,Angers SCO,France,0,0,0
3096,Florian Miguel,Nîmes,France,1117,0,3
3097,Denis Bouanga,Nîmes,Gabon,2641,8,10
3098,Bingourou Kamara,Strasbourg,France,0,0,0
3099,Tristan Dingome,Reims,France,1355,1,6
3100,Mickaël Alphonse,Dijon,France,566,1,1
3101,Samuel Grandsir,Strasbourg,France,724,0,4
3102,Christopher Hérelle,Nice,Martinique,2938,0,15
3103,Marcus Thuram,Guingamp,France,2583,9,7
3104,Adrien Tameze,Nice,France,2950,0,15
3105,Angelo Fulgini,Angers SCO,France,1636,4,9
3106,Thomas Fontaine,Reims,France,417,0,4
3107,Ludovic Ajorque,Strasbourg,France,1536,9,6
3108,Xavier Chavalerin,Reims,France,3240,2,14
3109,Régis Gurtner,Amiens SC,France,3420,0,11
3110,Thomas Monconduit,Amiens SC,France,2821,0,10
3111,Oualid El Hajjam,Amiens SC,France,542,0,4
3112,Jordan Lefort,Amiens SC,France,1803,0,5
3113,Guessouma Fofana,Guingamp,France,661,0,3
3114,Hamari Traoré,Rennes,Mali,2973,0,10
3115,Edouard Mendy,Reims,France,3420,0,14
3116,Aly Ndom,Caen,France,401,0,6
3117,Anthony Briançon,Nîmes,France,2925,2,9
3118,Bakaye Dibassy,Amiens SC,France,2941,1,9
3119,Charles Traoré,Nantes,Mali,1164,0,3
3120,Rémi Oudin,Reims,France,2629,10,13
3121,Dimitri Liénard,Strasbourg,France,1290,0,6
3122,Ruben Aguilar,Montpellier,France,2531,1,10
3123,Hassane Kamara,Reims,Gambia,920,0,5
3124,Sofiane Alakouch,Nîmes,France,1903,1,5
3125,Nathael Julan,Guingamp,France,430,0,3
3126,Ibrahima Sissoko,Strasbourg,France,2669,3,8
3127,Anthony Caci,Strasbourg,France,2301,0,8
3128,Reda Rabeï,Amiens SC,France,0,0,0
3129,Harisson Manzala,Angers SCO,Congo DR,66,0,3
3130,Axel Disasi,Reims,France,156,0,1
3131,Martin Sourzac,Nîmes,France,0,0,0
3132,Mazire Soula,Angers SCO,France,0,0,0
3133,Seybou Koita,Amiens SC,France,0,0,0
3134,Antonin Bobichon,Nîmes,France,2154,7,9
3135,Hervé Lybohy,Nîmes,Côte d'Ivoire,1478,2,4
3136,Cheick Timite,Amiens SC,Côte d'Ivoire,1451,1,9
3137,Jérémy Gelin,Rennes,France,1269,0,6
3138,Florian Escales,Olympique Marseille,France,0,0,0
3139,Kevin Rimane,PSG,French Guiana,4,0,1
3140,Abdel Malik Hsissane,Nîmes,Morocco,0,0,0
3141,Racine Coly,Nice,Senegal,501,0,3
3142,Souleyman Doumbia,Rennes,Côte d'Ivoire,606,0,3
3143,Serigne Modou Kara Mbodji,Nantes,Senegal,507,0,2
3144,Lukas Lerager,Bordeaux,Denmark,1300,0,5
3145,Thomas Foket,Reims,Belgium,2880,0,12
3146,Kalifa Coulibaly,Nantes,Mali,1744,8,8
3147,Andrei Girotto,Nantes,Brazil,1478,2,6
3148,Saman Ghoddos,Amiens SC,Sweden,1831,4,8
3149,Johan Larsson,Guingamp,Sweden,90,0,0
3150,Jakob Johansson,Rennes,Sweden,708,1,5
3151,Juan Ferney Otero Tovar,Amiens SC,Colombia,2178,2,10
3152,Rafał Kurzawa,Amiens SC,Poland,232,1,1
3153,Petar Škuletić,Montpellier,Serbia,579,1,9
3154,Gen Shōji,Toulouse,Japan,1620,0,6
3155,Reinildo Isnard Mandava,Lille,Mozambique,95,0,0
3156,Rafael Alexandre Conceição Leão,Lille,Portugal,1295,8,10
3157,Carlos Vinícius Alves Morais,Monaco,Brazil,511,2,5
3158,Mehmet Zeki Çelik,Lille,Turkey,2976,1,14
3159,Lebogang Phiri,Guingamp,South Africa,1932,0,7
3160,Felix Eboa Eboa,Guingamp,Cameroon,2427,3,7
3161,Nicolas Louis Marcel Cozza,Montpellier,France,986,0,2
3162,Adama Mbengue,Caen,Senegal,739,0,2
3163,Samuel Moutoussamy,Nantes,France,1650,2,6
3164,Moussa Sylla,Monaco,France,761,0,1
3165,Kévin Lucien Zohi,Strasbourg,Côte d'Ivoire,619,1,5
3166,Adam Jakubech,Lille,Slovakia,0,0,0
3167,Ignatius Kpene Ganago,Nice,Cameroon,1031,2,11
3168,Wilfried Aka Kanga,Angers SCO,France,482,2,5
3169,Malik Tchokounté,Caen,France,1468,0,6
3170,Cheick Omar Traoré,Guingamp,France,1504,0,6
3171,Mehdi Merghem,Guingamp,France,726,0,2
3172,Umut Bozok,Nîmes,France,1236,2,4
3173,Lucas Buadés,Nîmes,France,0,0,0
3174,El Hadji Pape Djibril Diaw,Angers SCO,Senegal,14,0,0
3175,Kouadio Yves Dabila,Lille,Côte d'Ivoire,778,0,3
3176,Théo Sainte-Luce,Nîmes,France,0,0,0
3177,Farid El Melali,Angers SCO,Algeria,310,0,7
3178,Jan Repas,Caen,Slovenia,0,0,0
3179,Dorian Bertrand,Angers SCO,France,0,0,0
3180,Oumar Solet Bomawoko,Olympique Lyonnais,France,60,0,0
3181,Mickaël Panos,Saint-Étienne,France,24,0,1
3182,Colin Dagba,PSG,France,912,0,7
3183,Gerzino Nyamsi,Rennes,France,538,0,2
3184,Lyle Foster,Monaco,South Africa,0,0,0
3185,Rafik Guitane,Rennes,France,0,0,0
3186,Ismael Aaneba,Strasbourg,France,206,0,1
3187,Boubakary Soumaré,Lille,France,551,1,6
3188,Jessy Deminguet,Caen,France,1273,0,6
3189,Moreto Moro Cassamã,Reims,Portugal,60,0,0
3190,Toma Bašić,Bordeaux,Croatia,1336,2,5
3191,Antonio Mance,Nantes,Croatia,45,0,1
3192,Nemanja Radonjić,Olympique Marseille,Serbia,673,0,6
3193,Willem Geubbels,Monaco,France,7,0,1
3194,Driss Khalid,Toulouse,France,0,0,0
3195,Rúnar Alex Rúnarsson,Dijon,Iceland,2250,0,5
3196,Kelyan Guessoum,Nîmes,France,0,0,0
3197,Antoine Bernede,PSG,France,170,0,1
3198,Thomas Carrique,Bordeaux,France,0,0,0
3199,Youcef Attal,Nice,Algeria,2261,6,11
3200,Julien Serrano,Monaco,France,117,0,0
3201,Romain Faivre,Monaco,France,90,0,0
3202,Hugo Hagege,Monaco,France,0,0,0
3203,Christopher Rocchia,Olympique Marseille,France,2,0,0
3204,Florian Chabrolle,Olympique Marseille,France,0,0,0
3205,Lucas Perrin,Olympique Marseille,France,0,0,0
3206,Abdallah Ali Mohamed,Olympique Marseille,France,0,0,0
3207,Yannis Clementia,Nice,France,0,0,0
3208,Romain Perraud,Nice,France,0,0,0
3209,Boulaye Dia,Reims,France,745,3,6
3210,Stanley Nsoki,PSG,France,697,0,5
3211,Moussa Diaby,PSG,France,1129,2,14
3212,Yacine Adli,Bordeaux,France,185,0,0
3213,Sébastien Cibois,PSG,France,0,0,0
3214,Maxence Caqueret,Olympique Lyonnais,France,0,0,0
3215,Anthony Racioppi,Olympique Lyonnais,Switzerland,0,0,0
3216,Ousseynou Ndiaye,Olympique Lyonnais,Senegal,0,0,0
3217,Timothée NKada,Rennes,France,0,0,0
3218,Isaac Matondo,Rennes,Congo DR,0,0,0
3219,Senou Coulibaly,Dijon,France,410,1,1
3220,Jordi Mboula Queralt,Monaco,Spain,276,0,1
3221,Isaac Hemans Arday,PSG,France,0,0,0
3222,Timothy Weah,PSG,USA,54,1,1
3223,Andy Pelmard,Nice,France,278,0,1
3224,Mohamed Lamine Diaby,Nice,France,160,0,2
3225,Percy Prado Ruiz,Nantes,France,0,0,0
3226,Eddy Sylvestre,Nice,France,266,0,2
3227,Armand Lauriente,Rennes,France,3,0,0
3228,Kylian Kaïboué,Montpellier,France,0,0,0
3229,Elie Youan,Nantes,France,18,0,0
3230,Yassin Fékir,Olympique Lyonnais,France,11,0,0
3231,Josué Homawoo,Nantes,France,0,0,0
3232,Amir Adouyev,Montpellier,France,0,0,0
3233,Thomas Basila,Nantes,France,91,0,1
3234,Météhan Guclu,PSG,Turkey,16,1,0
3235,Cheikh Ahmet Tidian Niasse,Lille,Senegal,0,0,0
3236,Yanis Ammour,Montpellier,France,1,0,1
3237,Assil Jaziri,Nice,Tunisia,34,0,2
3238,Stanley Segarel,Amiens SC,France,12,0,1
3239,Gaëtan Poussin,Bordeaux,France,90,0,1
3240,Jules Koundé,Bordeaux,France,3330,0,10
3241,Yassine Benrahou,Bordeaux,France,174,0,0
3242,Léo Pétrot,Saint-Étienne,France,0,0,0
3243,Moataz Zemzemi,Strasbourg,Tunisia,1,0,0
3244,Johnathan Panzo,Monaco,England,0,0,0
3245,Mathías Sebastián Suárez Suárez,Montpellier,Uruguay,552,0,1
3246,Yoel Armougom,Caen,France,1848,0,8
3247,Azzeddine Toufiqui,PSG,France,0,0,0
3248,Mahdi Camara,Saint-Étienne,France,9,0,0
3249,Lenny Pintor,Olympique Lyonnais,France,0,0,1
3250,Wilson Isidor,Monaco,France,41,0,0
3251,Sofiane Diop,Monaco,France,742,0,2
3252,Aurélien Tchouaméni,Bordeaux,France,705,0,3
3253,Sacha Boey,Rennes,France,13,0,0
3254,Loïc Mbe Soh,PSG,France,180,0,1
3255,Paul Wade,Nice,France,7,0,1
3256,Rayan Aït Nouri,Angers SCO,France,54,0,0
3257,Duplex Tchamba Bangou,Strasbourg,Cameroon,0,0,0
3258,Wesley Fofana,Saint-Étienne,France,160,0,1
3259,Virgile Jacky Marcel Pinson V. Pinson,Reims,France,4,0,0
3260,Enzo Loiodice,Dijon,France,852,0,3
3261,Hakim Ouro-Sama,Lille,Togo,0,0,0
3262,Théo Barbet,Dijon,France,0,0,0
3263,Naif Aguerd,Dijon,Morocco,1051,3,2
3264,Benoît Badiashile Mukinayi,Monaco,France,1763,1,4
3265,Yann Gboho,Rennes,France,0,0,0
3266,Arthur Zagre,PSG,France,0,0,0
3267,Jean-Clair Todibo,Toulouse,France,836,1,2
3268,Arton Zekaj,Lille,Serbia,0,0,0
3269,Abdoulaye Jules Keita,Dijon,Guinea,442,2,4
3270,Abdoulaye Dabo,Nantes,France,118,0,0
3271,Makhtar Gueye,Saint-Étienne,Senegal,45,1,1
3272,William Saliba,Saint-Étienne,France,1276,0,8
3273,Gaoussou Boubacar Traoré,Amiens SC,France,107,0,1
3274,Sanasi Sy,Amiens SC,France,0,0,0
3275,Issa Marega,Caen,France,0,0,0
3276,Han-Noah Massengo,Monaco,France,58,0,1
3277,Khéphren Thuram-Ulie,Monaco,France,0,0,0
3278,Georginio Rutter,Rennes,France,0,0,0
3279,Youssouf Fofana,Strasbourg,France,908,2,5
3280,Yohan Bilingi,Guingamp,France,0,0,0
3281,Djegui Koita,Guingamp,France,172,0,1
3282,Maxime Pélican,Nice,France,91,0,1
3283,Alexandre Lauray,Bordeaux,France,258,0,0
3284,Till Cissokho,Bordeaux,France,79,0,0
3285,Albert Nicolas Lottin,Bordeaux,France,20,0,1
3286,Bilal Benkhedim,Saint-Étienne,France,0,0,0
3287,Charels Nathan Abi,Saint-Étienne,France,29,0,1
3288,Marvin Tshibuabua,Saint-Étienne,France,0,0,0
3289,Hakim El Mokkedem,Toulouse,France,23,0,0
3290,Anthony Gomez Mancini,Angers SCO,France,0,0,0
3291,Matthias Phaeton,Guingamp,France,52,0,0
3292,Mehdi Boudjemaa,Guingamp,France,0,0,0
3293,Kalidou Sidibé,Toulouse,France,1270,1,6
3294,Kevin Mouanga,Angers SCO,France,0,0,0
3295,Imran Louza,Nantes,France,89,0,0
3296,Eric Junior Dina Ebimbe,PSG,France,0,0,0
3297,Bafodé Diakité,Toulouse,France,632,1,2
3298,Evens Joseph,Caen,France,331,0,0
3299,Sory Doumbouya,Dijon,France,0,0,0
3300,Giulian Biancone,Monaco,France,90,0,0
3301,Levy Kahamba Ntumba,Dijon,France,0,0,0
3302,Mathis Carvalho,Toulouse,France,0,0,0
3303,Younn Zahary,Caen,France,731,0,4
3304,Eduardo Camavinga,Rennes,France,364,0,2
3305,Pedro David Brazão Teixeira,Nice,Portugal,13,0,0
3306,Kouadio Kone,Toulouse,France,69,0,0
3307,Loïc Bessile,Toulouse,France,0,0,0
3308,Brice Tutu,Caen,France,0,0,0
3309,Alexandre Tégar,Dijon,France,0,0,0
3310,Iron Gomis,Amiens SC,France,0,0,0
3311,Herman Moussaki,Caen,France,201,0,2
3312,Mohamed Simakan,Strasbourg,France,0,0,0
3313,Louis Carnot,Guingamp,France,7,0,0
3314,Nathan N'Goumou Minpole,Toulouse,France,71,0,0
3315,Moussa Diarra,Toulouse,France,0,0,0
3316,Thiago Silva,PSG,Brazil,2079,0,14
3317,Cesc Fabregas,Monaco,Spain,969,1,4
