,full_name,Current Club,nationality,minutes_played_overall,goals_overall,clean_sheets_overall
102,Valentino Müller,Rheindorf Altach,Austria,807,0,1
103,Martin Kobras,Rheindorf Altach,Austria,2221,0,5
104,Emanuel Schreiner,Rheindorf Altach,Austria,1513,2,3
105,Gerald Nutz,Wolfsberger AC,Austria,159,0,0
106,Daniel Drescher,St. Pölten,Austria,1922,0,9
107,Christian Dobnik,Wolfsberger AC,Austria,158,0,0
108,Christoph Riegler,St. Pölten,Austria,2880,0,11
109,Michael Huber,Hartberg,Austria,2208,1,2
110,Christoph Martschinko,Austria Wien,Austria,842,0,0
111,Lucas Henrique Ferreira Venuto,Austria Wien,Brazil,287,1,3
112,Daniel Schütz,St. Pölten,Austria,596,1,4
113,Michael Ambichl,St. Pölten,Austria,1190,1,3
114,Daniel Petrovic,St. Pölten,Austria,718,0,1
115,Thomas Vollnhofer,St. Pölten,Austria,0,0,0
116,Alexander Grünwald,Austria Wien,Austria,1855,8,5
117,Kevin Friesenbichler,Wolfsberger AC,Austria,1763,4,6
118,Thomas Salamon,Austria Wien,Austria,301,0,0
119,Marko Kvasina,Mattersburg,Austria,1545,6,5
120,Markus Kuster,Mattersburg,Austria,2520,0,7
121,Nedeljko Malic,Mattersburg,Austria,1697,3,4
122,Patrick Farkas,Salzburg,Austria,108,0,1
123,Michael Novak,Wolfsberger AC,Austria,2785,1,9
124,Lukas Rath,Mattersburg,Austria,1442,0,6
125,Alejandro Velasco Farinas,Mattersburg,Spain,2706,2,8
126,Alois Höller,Mattersburg,Austria,1820,3,5
127,Sven Sprangler,Wolfsberger AC,Austria,836,0,6
128,Patrick Bürger,Mattersburg,Austria,224,0,4
129,Stephan Zwierschitz,Admira,Austria,2376,4,6
130,Markus Lackner,Sturm Graz,Austria,1237,1,4
131,Fabio Strauss,Admira,Austria,0,0,0
132,Thomas Ebner,Austria Wien,Austria,1523,0,6
133,Markus Wostry,LASK Linz,Austria,611,1,2
134,Daniel Toth,Admira,Austria,2321,0,6
135,Christoph Knasmüllner,Rapid Wien,Austria,2296,5,13
136,Maximilian Sax,Austria Wien,Austria,1308,2,1
137,Eldis Bajrami,St. Pölten,Austria,573,1,1
138,Dominik Starkl,Admira,Austria,1025,1,4
139,Markus Pink,Sturm Graz,Austria,1161,6,6
140,Mario Grgic,Mattersburg,Austria,20,0,1
141,Julius Ertlthaler,Mattersburg,Austria,747,0,4
142,Patrick Schmidt,Admira,Austria,1548,8,4
143,Christoph Monschein,Austria Wien,Austria,1696,7,5
144,Manuel Kuttin,Admira,Austria,0,0,0
145,Florian Fischerauer,Admira,Austria,0,0,0
146,Thorsten Mahrer,Mattersburg,Austria,2332,1,7
147,Patrick Salomon,Mattersburg,Austria,1604,1,4
148,Andreas Leitner,Admira,Austria,2880,0,6
149,Michael Perlak,Mattersburg,Austria,250,0,1
150,Kristijan Dobras,Rheindorf Altach,Austria,957,3,1
151,Tobias Schützenauer,Sturm Graz,Austria,90,0,0
152,Lukas Grozurek,Sturm Graz,Austria,1410,5,9
153,Manuel Maranda,Wacker Innsbruck,Austria,1391,0,5
154,Fabian Schubert,Hartberg,Austria,501,0,1
155,Philipp Malicsek,Rapid Wien,Austria,146,0,1
156,Andreas Gruber,Mattersburg,Austria,2599,6,8
157,Hee-Chan Hwang,Salzburg,South Korea,0,0,0
158,Christoph Leitgeb,Salzburg,Austria,110,0,2
159,Francisco José Sánchez Rodríguez,Mattersburg,Spain,460,0,3
160,Simon Piesinger,Rheindorf Altach,Austria,1466,2,5
161,Zakaria Sanogo,Hartberg,Burkina Faso,1504,4,2
162,Stefan Nutz,Rheindorf Altach,Austria,1620,3,4
163,Manuel Martic,Rapid Wien,Austria,946,0,6
164,Petar Gluhakovic,Austria Wien,Austria,0,0,0
165,Alexandar Borkovic,Austria Wien,Austria,432,1,1
166,Patrick Pentz,Austria Wien,Austria,2430,0,6
167,Kelvin Arase,Rapid Wien,Austria,90,0,0
168,Mario Sonnleitner,Rapid Wien,Austria,2060,5,8
169,Barnabás Varga,Mattersburg,Hungary,222,0,2
170,Marcel Holzer,Hartberg,Austria,55,0,0
171,Sandi Lovric,Sturm Graz,Austria,1350,1,9
172,Dominik Prokop,Austria Wien,Austria,1541,1,5
173,Philipp Erhardt,Mattersburg,Austria,2063,0,7
174,Manuel Thurnwald,Rapid Wien,Austria,234,0,0
175,Gernot Trauner,LASK Linz,Austria,2520,4,13
176,Osarenren Okungbowa,St. Pölten,Austria,0,0,0
177,Tobias Knoflach,Rapid Wien,Austria,270,0,1
178,Hannes Wolf,Salzburg,Austria,1392,8,8
179,Ahmet Muhamedbegovic,St. Pölten,Austria,0,0,1
180,Husein Balic,St. Pölten,Bosnia and Herzegovina,1233,3,9
181,Johannes Aigner,Rheindorf Altach,Austria,345,4,0
182,Mario Leitgeb,Wolfsberger AC,Austria,2608,6,9
183,Andreas Kuen,Mattersburg,Austria,640,1,6
184,Christoph Haas,Rapid Wien,Austria,0,0,0
185,Issiaka Ouédraogo,St. Pölten,Burkina Faso,268,3,4
186,Benjamin Ozegovic,Rheindorf Altach,Austria,0,0,0
187,Michael Blauensteiner,Hartberg,Austria,2216,1,2
188,Tino Casali,Mattersburg,Austria,450,0,1
189,Mërgim Berisha,Rheindorf Altach,Kosovo,1163,7,4
190,Amadou Haidara,Salzburg,Mali,795,2,3
191,Marcus Maier,Admira,Austria,1409,1,4
192,Lukas Malicsek,Admira,Austria,651,0,2
193,Wilhelm Vorsager,Admira,Austria,2386,2,6
194,Milos Spasic,Admira,Serbia,1372,1,1
195,Igor Julio dos Santos de Paulo,Austria Wien,Brazil,2340,0,6
196,David Cancola,Hartberg,Austria,763,2,0
197,Romano Schmid,Wolfsberger AC,Austria,481,1,2
198,Alexandar Vucenovic,St. Pölten,Austria,119,0,1
199,Johannes Tartarotti,Rheindorf Altach,Austria,0,0,0
200,Stefan Jonovic,Austria Wien,Austria,0,0,0
201,Alexander Schlager,LASK Linz,Austria,2790,0,13
202,Matthias Maak,Wacker Innsbruck,Austria,2610,1,7
203,Tobias Kainz,Hartberg,Austria,1274,1,0
204,Dominik Hofbauer,St. Pölten,Austria,513,0,7
205,Bernd Gschweidl,Wolfsberger AC,Austria,305,0,5
206,Roman Kerschbaum,Wacker Innsbruck,Austria,1832,0,5
207,Marco Meilinger,Rheindorf Altach,Austria,1202,2,5
208,Thomas Goiginger,LASK Linz,Austria,2494,6,14
209,Michael Schimpelsberger,Wacker Innsbruck,Austria,1455,0,3
210,Rene Swete,Hartberg,Austria,2610,0,2
211,Dominik Baumgartner,Wacker Innsbruck,Austria,719,2,2
212,Christoph Freitag,Wacker Innsbruck,Austria,1001,1,2
213,Reinhold Ranftl,LASK Linz,Austria,2654,2,14
214,Christian Ramsebner,LASK Linz,Austria,2178,2,12
215,Marko Soldo,Wolfsberger AC,Austria,90,0,0
216,Stefan Rakowitz,Wacker Innsbruck,Austria,687,1,4
217,Christoph Kröpfl,Hartberg,Austria,1171,2,2
218,Alexander Gründler,Wacker Innsbruck,Austria,315,2,2
219,Florian Sittsam,Hartberg,Austria,1224,1,2
220,Taxiarchis Fountas,St. Pölten,Greece,1256,4,8
221,Sandro Ingolitsch,St. Pölten,Austria,2253,0,11
222,Luan Leite da Silva,St. Pölten,Brazil,2663,2,11
223,Masaya Okugawa,Salzburg,Japan,0,0,0
224,Emir Karic,Rheindorf Altach,Austria,1863,0,3
225,Samuel Tetteh Kotoko,LASK Linz,Ghana,798,4,10
226,Albert Vallci,Salzburg,Austria,2264,1,7
227,Luca Emanuel Meisl,St. Pölten,Austria,1923,1,9
228,Hidajet Hankič,Wacker Innsbruck,Austria,224,0,1
229,Daniel Kerschbaumer,Mattersburg,Austria,617,1,0
230,Rene Renner,Mattersburg,Austria,2783,5,7
231,Florian Buchacher,Wacker Innsbruck,Austria,112,0,1
232,Christian Gebauer,Rheindorf Altach,Austria,2489,4,5
233,Stefan Haudum,LASK Linz,Austria,186,1,2
234,Florian Jamnig,LASK Linz,Austria,306,1,6
235,Marco Sahanek,Admira,Austria,815,1,2
236,Patrik Eler,Wacker Innsbruck,Slovenia,535,0,3
237,Michael Lercher,Mattersburg,Austria,180,0,0
