Alain Wiss,Alain Wiss,100
Alan Czerwiński,Alan Czerwiński,100
Alan Dzagoev,Alan Dzagoev,100
Alan Eduardo Schons,Alan Eduardo Schons,100
Alan Lithgow,Alan Lithgow,100
Alan Patrick Lourenço,Alan Patrick Lourenço,100
Alan Power,Alan Power,100
Alan Uryga,Alan Uryga,100
Alassane Pléa,Alassane Pléa,100
Alban Lafont,Alban Lafont,100
Albert Guðmundsson,Albert Gudmundsson,94
Albert Sambi Lokonga,Albert-Mboyo Sambi Lokonga,87
Albert Vallci,Albert Vallci,100
Alberto Cerri,Alberto Cerri,100
Alberto Grassi,Alberto Grassi,100
Alberto Paloschi,Alberto Paloschi,100
Alberto Rodríguez Baró,Alberto Rodríguez Baro,95
Albian Ajeti,Albian Ajeti,100
Albin Ekdal,Albin Ekdal,100
Aldo Kalulu Kyatengwa,Aldo Kalulu Kyatengwa,100
Alef dos Santos Saldanha,Alef dos Santos Saldanha,100
Alejandro Blanco Sánchez,Alejandro Blanco Sánchez,100
Alejandro Domínguez Romero,Alejandro Domínguez Romero,100
Alejandro Dos Santos Ferreira,Alejandro Dos Santos Ferreira,100
Alejandro Grimaldo García,Alejandro Grimaldo García,100
Alejandro López Moreno,Alejandro López Moreno,100
Alejandro Pozuelo Melero,Alejandro Pozuelo Melero,100
Alejandro Rodríguez Gorrín,Alejandro Rodriguez Gorrin,92
Alejandro Velasco Fariñas,Alejandro Velasco Farinas,96
Aleksandar Bjelica,Aleksandar Bjelica,100
Aleksandar Boljević,Aleksandar Boljević,100
Aleksandar Cvetković,Aleksandar Cvetković,100
Aleksandar Dragović,Aleksandar Dragović,100
Aleksandar Kolarov,Aleksandar Kolarov,100
Aleksandar Paločević,Aleksandar Paločević,100
Aleksandar Prijović,Aleksandar Prijović,100
Aleksandar Sedlar,Aleksandar Sedlar,100
Aleksandar Vucenovic,Alexandar Vucenovic,92
Aleksandar Vukotić,Aleksandar Vukotić,100
Aleksander Jagiełło,Aleksander Jagiełło,100
Aleksandr Kolomeytsev,Aleksandr Kolomeytsev,100
Aleksandr Samedov,Alexandr Samedov,91
Aleksandr Tashaev,Aleksandr Tashaev,100
Aleksey Miranchuk,Aleksey Miranchuk,100
Alen Halilović,Alen Halilović,100
Alessandro  Florenzi,Alessandro Florenzi,97
Alessandro Bastoni,Alessandro Bastoni,100
Alessandro Ciranni,Alessandro Ciranni,100
Alessandro Damen,Alessandro Damen,100
Alessandro Deiola,Alessandro Deiola,100
Alessandro Kräuchi,Alessandro Kräuchi,100
Alessandro Matri,Alessandro Matri,100
Alessandro Murgia,Alessandro Murgia,100
Alessandro Plizzari,Alessandro Plizzari,100
Alessandro Rossi,Alessandro Rossi,100
Alessandro Schöpf,Alessandro Schöpf,100
Alessandro Tripaldelli,Alessandro Tripaldelli,100
Alessio Castro-Montes,Alessio Castro-Montes,100
Alessio Cerci,Alessio Cerci,100
Alessio Cragno,Alessio Cragno,100
Alessio Da Cruz,Alessio da Cruz,93
Alessio Romagnoli,Alessio Romagnoli,100
Alex Ferrari,Alex Ferrari,100
Alex Gersbach,Alex Gersbach,100
Alex Iwobi,Alex Iwobi,100
Alex McCarthy,Alex McCarthy,100
Alex Meret,Alex Meret,100
Alex Nicolao Telles,Alex Nicolao Telles,100
Alex Oxlade-Chamberlain,Alex Oxlade-Chamberlain,100
Alex Penny,Alex Penny,100
Alexandar Borkovic,Alexandar Borkovic,100
Alexander Ammitzbøll,Alexander Ammitzbøll,100
Alexander Bannink,Alexander Bannink,100
Alexander Baun,Alexander Baun,100
Alexander Büttner,Alexander Büttner,100
Alexander Domin Christovao M'Futila,Alexander Domin Christovao M'Futila,100
Alexander Esswein,Alexander Esswein,100
Alexander Gerndt,Alexander Gerndt,100
Alexander Grünwald,Alexander Grünwald,100
Alexander Hack,Alexander Hack,100
Alexander Hartmann Bah,Alexander Hartmann Bah,100
Alexander Isak,Alexander Isak,100
Alexander Juel Andersen,Alexander Juel Andersen,100
Alexander Kofler,Alexander Kofler,100
Alexander Kolev,Alexander Kofler,90
Alexander Ludwig,Alexander Ludwig,100
Alexander Merkel,Alexander Merkel,100
Alexander Munksgaard,Alexander Munksgaard,100
Alexander Nübel,Alexander Nübel,100
Alexander Schlager,Alexander Schlager,100
Alexander Scholz,Alexander Scholz,100
Alexander Schwolow,Alexander Schwolow,100
Alexander Stolz,Alexander Stolz,100
Alexander Szymanowski,Alexander Szymanowski,100
Alexander Sørloth,Alexander Sørloth,100
Alexander Walke,Alexander Walke,100
